Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,IsLt,ConfigurationHash,EventTimestamp,StateTransition,ChargeLevel,CycleCount,DesignedCapacity,FullChargedCapacity,ActiveAcTime,ActiveDcTime,ActiveDischargeTime,ActiveEnergy,CsAcTime,CsDcTime,CsDischargeTime,CsEnergy
1,2026-07-03 18:15:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-03 17:55:18,256,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2,2026-07-03 18:15:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-03 18:03:58,769,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
3,2026-07-03 18:15:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-03 18:04:29,259,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
4,2026-07-03 18:15:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-03 18:09:29,769,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
5,2026-07-03 18:15:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-03 18:15:00,771,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
7,2026-07-14 07:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 06:25:16,256,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
8,2026-07-14 07:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 07:26:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
9,2026-07-14 08:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 07:32:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
10,2026-07-14 08:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 08:26:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11,2026-07-14 09:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 08:31:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
12,2026-07-14 09:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 09:26:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
13,2026-07-14 10:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 09:31:59,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
14,2026-07-14 10:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 10:21:59,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
15,2026-07-14 11:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 10:26:59,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
16,2026-07-14 11:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 11:21:59,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
17,2026-07-14 12:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 11:27:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
18,2026-07-14 12:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 12:22:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
19,2026-07-14 13:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 12:28:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
20,2026-07-14 13:22:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 13:22:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
21,2026-07-14 14:23:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 13:28:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22,2026-07-14 14:23:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 14:23:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
23,2026-07-14 15:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 14:29:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
24,2026-07-14 15:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 15:24:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
25,2026-07-14 16:23:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 15:30:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
26,2026-07-14 16:23:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 16:23:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
27,2026-07-14 17:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 16:28:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
28,2026-07-14 17:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 17:24:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
29,2026-07-14 18:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 17:30:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
30,2026-07-14 18:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 18:24:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
31,2026-07-14 19:27:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 18:30:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
32,2026-07-14 19:27:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 19:27:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
33,2026-07-14 20:25:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 19:33:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
34,2026-07-14 20:25:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 20:25:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
35,2026-07-14 21:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 20:30:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
36,2026-07-14 21:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 21:26:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
37,2026-07-14 22:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 21:32:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
38,2026-07-14 22:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 22:24:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
39,2026-07-14 23:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 22:29:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
40,2026-07-14 23:24:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 23:24:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
41,2026-07-15 00:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-14 23:30:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
42,2026-07-15 00:26:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 00:26:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
43,2026-07-15 00:31:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 00:31:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
45,2026-07-15 00:33:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 00:32:53,256,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
47,2026-07-15 01:32:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 00:35:00,256,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
48,2026-07-15 01:32:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 01:32:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
49,2026-07-15 02:34:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 01:38:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
50,2026-07-15 02:34:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 02:34:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
51,2026-07-15 03:36:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 02:40:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
52,2026-07-15 03:36:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 03:36:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
53,2026-07-15 04:32:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 03:41:59,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
54,2026-07-15 04:32:00,,,,UnknownOrUserSid,,,2,1,False,0,2026-07-15 04:32:00,257,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
