Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,EndTime,DurationMs
1070,2026-07-14 07:26:00,conhost.exe,,07/06/2042 06:26:43 +00:00,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,52,2026-07-14 07:13:00,120003
1071,2026-07-14 07:26:00,services.exe,,06/16/2039 21:22:19 +00:00,LocalSystem,S-1-5-18,,4,22,2026-07-14 07:26:00,3643458
1072,2026-07-14 07:26:00,date.exe,,11/15/2022 17:18:44 +00:00,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,1173,2026-07-14 07:12:00,120007
1073,2026-07-14 07:26:00,svchost.exe,[netsvcs] [CertPropSvc],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,128,2026-07-14 07:26:00,3343450
1074,2026-07-14 07:26:00,head.exe,,11/15/2022 17:18:48 +00:00,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,1174,2026-07-14 07:13:00,180003
1075,2026-07-14 07:26:00,svchost.exe,[LocalSystemNetworkRestricted] [AudioEndpointBuilder],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,18,2026-07-14 07:26:00,1603334
1076,2026-07-14 07:26:00,svchost.exe,[NetworkService],11/12/2104 20:36:41 +00:00,NetworkService,S-1-5-20,,9,55,2026-07-14 07:26:00,3643458
1077,2026-07-14 07:26:00,conhost.exe,,07/06/2042 06:26:43 +00:00,LocalSystem,S-1-5-18,,4,52,2026-07-14 06:47:00,883349
1078,2026-07-14 07:26:00,provtool.exe,,03/26/2051 10:45:25 +00:00,LocalSystem,S-1-5-18,,4,64,2026-07-14 06:36:00,59994
1079,2026-07-14 07:26:00,taskhostw.exe,,05/16/2070 03:03:40 +00:00,NetworkService,S-1-5-20,,9,34,2026-07-14 06:26:00,43472
1080,2026-07-14 07:26:00,LogonUI.exe,,11/04/1975 10:59:47 +00:00,LocalSystem,S-1-5-18,,4,126,2026-07-14 06:26:00,43472
1081,2026-07-14 07:26:00,svchost.exe,,11/12/2104 20:36:41 +00:00,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,82,2026-07-14 07:26:00,163372
1082,2026-07-14 07:26:00,dwm.exe,,03/16/2054 19:27:43 +00:00,UnknownOrUserSid,S-1-5-90-0-1,,13,12,2026-07-14 07:26:00,3643458
1083,2026-07-14 07:26:00,taskhostw.exe,,05/16/2070 03:03:40 +00:00,LocalSystem,S-1-5-18,,4,34,2026-07-14 07:26:00,1003236
