SourceFile,Executable,RunCount,LastRun,AllRunTimes,FilesLoaded
MSCORSVW.EXE-8CE1A322.pf,MSCORSVW.EXE,10,2020-09-19 01:35:44.140358,2020-09-19 01:35:44.140358; 2020-09-19 01:35:44.108858; 2020-09-19 01:35:44.077949; 2020-09-19 01:35:44.031036; 2020-09-19 01:35:43.999653; 2020-09-19 01:35:43.968239; 2020-09-19 01:35:43.937054; 2020-09-19 01:35:43.874497,73
MSDTC.EXE-7FFD35C4.pf,MSDTC.EXE,1,2020-09-18 05:53:58.210539,2020-09-18 05:53:58.210539; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,56
MSIEXEC.EXE-8FFB1633.pf,MSIEXEC.EXE,4,2020-09-18 05:53:02.134494,2020-09-18 05:53:02.134494; 2020-09-18 05:52:57.384590; 2020-09-18 05:52:44.400099; 2020-09-18 05:52:15.728513; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,127
MSIEXEC.EXE-CDBFC0F7.pf,MSIEXEC.EXE,1,2020-09-18 05:53:03.228487,2020-09-18 05:53:03.228487; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,58
MSINFO32.EXE-C3C668DA.pf,MSINFO32.EXE,1,2020-09-19 05:09:13.183384,2020-09-19 05:09:13.183384; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,79
MSMPENG.EXE-0A0F2761.pf,MSMPENG.EXE,1,2020-09-18 22:52:57.065955,2020-09-18 22:52:57.065955; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,81
NGEN.EXE-4A8DA13E.pf,NGEN.EXE,10,2020-09-19 01:35:44.937058,2020-09-19 01:35:44.937058; 2020-09-19 01:35:44.905739; 2020-09-19 01:35:44.858858; 2020-09-19 01:35:44.827867; 2020-09-19 01:35:44.780744; 2020-09-19 01:35:44.733925; 2020-09-19 01:35:44.702950; 2020-09-19 01:35:44.671396,37
NGEN.EXE-734C6620.pf,NGEN.EXE,10,2020-09-19 01:35:44.765108,2020-09-19 01:35:44.765108; 2020-09-19 01:35:44.718627; 2020-09-19 01:35:44.562650; 2020-09-19 01:35:44.530803; 2020-09-19 01:35:44.499537; 2020-09-19 01:35:44.452660; 2020-09-19 01:35:44.422038; 2020-09-19 01:35:44.390114,32
NGENTASK.EXE-0E6CEC17.pf,NGENTASK.EXE,1,2020-09-19 01:34:09.998197,2020-09-19 01:34:09.998197; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,55
NGENTASK.EXE-849BFD75.pf,NGENTASK.EXE,1,2020-09-19 01:34:10.013979,2020-09-19 01:34:10.013979; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,59
